label,any_vote_count,majority_count,unanimous_count,any_vote_pct,majority_pct,unanimous_pct,cluster_ci_low_pct,cluster_ci_high_pct,split_vote_pct,pairwise_agreement_pct,fleiss_kappa
Prolongation,8546,2812,790,30.329701529616354,9.97977073499663,2.8037051495900913,9.055279400868027,10.89525776580146,27.525996380026264,81.64933574664916,0.2543887625247194
Block,11970,3370,528,42.481456507080246,11.960109309010896,1.8738687582070483,11.158934123161151,12.823656655588675,40.60758774887319,72.92827483408453,0.11228617444866032
SoundRep,5614,2342,863,19.92405153139085,8.311743620683536,3.0627817013876566,7.167320237877339,9.526253279736464,16.861269830003195,88.75915344666453,0.39852583777945394
WordRep,4621,2770,1610,16.399900628171913,9.830712992866522,5.7138801149874014,8.897503216080972,10.792615004252097,10.686020513184511,92.87598632454365,0.6256166588313076
NoStutteredWords,21372,16046,8586,75.84909678106257,56.94715548142102,30.47166128402598,55.192251186088534,58.77871361491335,45.377435497036586,69.74837633530893,0.3901964909979367
Interjection,9658,5973,3378,34.276182702203926,21.198140327217235,11.98850125989282,19.553617061776112,22.781038162813704,22.287681442311104,85.14154570512592,0.5737845050235889
Unsure,768,24,0,2.7256272846647978,0.08517585264577493,0.0,0.04550622233412807,0.12981400248687486,2.7256272846647978,98.1829151435568,0.021131676453577605
PoorAudioQuality,2910,582,101,10.32757213330021,2.065514426660042,0.3584483798843028,1.308874051144226,3.032201445853107,9.969123753415907,93.35391749772273,0.18349648245185377
DifficultToUnderstand,4872,1038,154,17.29069808709231,3.6838556269297653,0.5465450544770558,2.9997843236913826,4.426070883860609,16.74415303261525,88.83723131158983,0.1618385119832412
NaturalPause,10183,2394,272,36.13940447883025,8.496291301416047,0.9653263299854491,7.753404905814004,9.24117927456153,35.1740781488448,76.5506145674368,0.09039248522101649
Music,396,298,199,1.4054015686552863,1.0576001703517053,0.7062497781878838,0.7284337599343741,1.4642313175941253,0.6991517904674025,99.53389880635505,0.7770399080536012
NoSpeech,975,308,130,3.460269013734606,1.0930901089541116,0.4613692018312809,0.6794301394264606,1.6800283879292068,2.9988998119033257,98.00073345873112,0.3918153297930771
