Show,EpId,clips,Prolongation,Block,SoundRep,WordRep,NoStutteredWords,Interjection,Unsure,PoorAudioQuality,DifficultToUnderstand,NaturalPause,Music,NoSpeech
HVSA,0,137,13.86861313868613,18.97810218978102,6.569343065693431,4.37956204379562,43.79562043795621,35.76642335766424,0.0,0.0,3.64963503649635,13.138686131386862,0.0,0.7299270072992701
HVSA,1,188,7.446808510638298,11.702127659574469,7.9787234042553195,7.446808510638298,57.97872340425532,37.765957446808514,0.0,0.0,3.1914893617021276,7.446808510638298,0.0,2.127659574468085
HVSA,2,200,10.5,10.0,12.5,9.0,51.0,39.0,0.0,18.5,8.5,9.0,0.0,1.5
HVSA,3,211,16.113744075829384,10.42654028436019,16.587677725118482,5.213270142180095,51.18483412322274,23.696682464454977,0.0,15.639810426540285,3.7914691943127963,10.90047393364929,0.0,3.3175355450236967
HeStutters,0,40,2.5,0.0,2.5,0.0,95.0,0.0,0.0,0.0,2.5,5.0,0.0,0.0
HeStutters,1,273,16.483516483516482,16.84981684981685,18.315018315018314,9.89010989010989,36.26373626373626,13.553113553113553,0.3663003663003663,1.098901098901099,10.989010989010989,4.761904761904762,0.0,2.197802197802198
HeStutters,2,216,16.203703703703702,8.796296296296296,5.555555555555555,11.11111111111111,55.092592592592595,31.48148148148148,0.0,13.425925925925927,8.333333333333332,6.944444444444445,0.4629629629629629,2.7777777777777777
HeStutters,3,40,7.5,2.5,0.0,7.5,72.5,17.5,0.0,27.500000000000004,15.0,0.0,0.0,0.0
HeStutters,4,40,10.0,5.0,0.0,15.0,70.0,30.0,0.0,0.0,5.0,5.0,0.0,0.0
HeStutters,5,199,13.06532663316583,19.09547738693467,19.597989949748744,9.547738693467336,36.18090452261307,28.643216080402013,0.5025125628140703,1.0050251256281406,9.045226130653267,11.055276381909549,0.0,2.0100502512562812
HeStutters,6,294,15.306122448979592,7.142857142857142,5.782312925170068,14.285714285714285,54.08163265306123,25.170068027210885,0.0,0.0,2.0408163265306123,6.802721088435375,0.0,1.3605442176870748
HeStutters,7,40,2.5,7.5,0.0,5.0,85.0,2.5,0.0,0.0,0.0,2.5,0.0,0.0
HeStutters,8,202,8.91089108910891,11.881188118811881,4.455445544554455,14.356435643564355,56.930693069306926,10.891089108910892,0.0,0.0,2.4752475247524752,13.861386138613863,0.49504950495049505,0.0
HeStutters,9,40,7.5,10.0,2.5,2.5,77.5,7.5,0.0,0.0,0.0,2.5,0.0,0.0
HeStutters,10,40,0.0,0.0,5.0,10.0,80.0,40.0,0.0,0.0,5.0,7.5,0.0,0.0
HeStutters,11,208,16.346153846153847,11.057692307692307,8.653846153846153,16.346153846153847,49.519230769230774,37.019230769230774,0.0,0.0,2.403846153846154,9.134615384615383,2.403846153846154,0.9615384615384616
HeStutters,12,218,11.926605504587156,10.550458715596331,4.587155963302752,20.642201834862387,50.0,31.65137614678899,0.0,0.9174311926605505,2.7522935779816518,7.339449541284404,0.0,0.0
HeStutters,13,40,10.0,5.0,10.0,7.5,65.0,22.5,0.0,0.0,2.5,7.5,0.0,0.0
